"id","title","release_year","rating","director","runtime"
231,Soul,2020,8.1,Pete Docter,100
232,Andrei Rublev,1966,8.1,Andrei Tarkovsky,205
233,"Monsters, Inc.",2001,8.1,Pete Docter,92
234,Rocky,1976,8.1,John G. Avildsen,120
235,Nausicaä of the Valley of the Wind,1984,8.1,Hayao Miyazaki,117
236,Rebecca,1940,8.1,Alfred Hitchcock,130
237,Time of the Gypsies,1988,8.2,Emir Kusturica,142
238,Before Sunset,2004,8.1,Richard Linklater,80
239,In the Mood for Love,2000,8.1,Kar-Wai Wong,98
240,Rififi,1955,8.1,Jules Dassin,118
241,Rang De Basanti,2006,8.2,Rakeysh Omprakash Mehra,167
242,"Paris, Texas",1984,8.1,Wim Wenders,145
243,Drishyam,2013,8.4,Jeethu Joseph,160
244,Portrait of a Lady on Fire,2019,8.1,Céline Sciamma,122
245,It Happened One Night,1934,8.1,Frank Capra,105
246,Neon Genesis Evangelion: The End of Evangelion,1997,8.1,Hideaki Anno,87
247,"7 Kogustaki Mucize",2019,8.2,Mehmet Ada Öztekin,132
248,Tangerines,2013,8.2,Zaza Urushadze,87
249,Drishyam,2015,8.2,Nishikant Kamat,163
250,Swades,2004,8.2,Ashutosh Gowariker,189
